Flow Name,Flow Description,Step Title,Content
Understanding ATXP,"Learn the core concepts, benefits, and underlying technology that makes ATXP valuable for agent development.",Learn the Core Benefits,"Understand why ATXP is valuable for agent development

What ATXP Provides:
- Reduced Friction: Try new tools in minutes without signups, API keys, or billing setup
- Pay-as-you-go Cost Control: Per-MCP-tool-call pricing - only pay for what you use
- Better Security: Keep secrets out of your app with signed payment authorization instead of shared keys
- Composable Tooling: Combine multiple paid MCP servers behind a single client and consistent API

Recommended Resources:
- ATXP Documentation - *URL not provided in source*
- What is ATXP? Overview Video - *URL not provided in source*"
Understanding ATXP,"Learn the core concepts, benefits, and underlying technology that makes ATXP valuable for agent development.",Understand MCP (Model Context Protocol),"Learn about the protocol that powers ATXP tools

Key Concepts:
- MCP servers provide tools that AI agents can discover and use
- Tools are defined with schemas that specify inputs and outputs
- ATXP adds a payment layer to MCP tools

Recommended Resources:
- MCP Protocol Documentation - *URL not provided in source*
- MCP GitHub Repository - *URL not provided in source*"
Environment Setup,"Set up your development environment with ATXP client SDK and create the basic project structure.",Install Required Dependencies,"Set up your development environment with ATXP client SDK

Actions:
1. Open your terminal/command prompt
2. Navigate to your project directory
3. Install the ATXP client SDK:
   ```bash
   npm install @atxp/client
   ```

Prerequisites:
- Node.js version 16 or higher
- npm or yarn package manager

Troubleshooting:
- If you encounter permission errors, try using `sudo` (macOS/Linux) or run as administrator (Windows)
- For corporate networks, you may need to configure npm proxy settings"
Environment Setup,"Set up your development environment with ATXP client SDK and create the basic project structure.",Create Project Structure,"Set up a basic project structure for your ATXP agent

Actions:
1. Create a new directory for your project (if not already done):
   ```bash
   mkdir my-atxp-agent
   cd my-atxp-agent
   ```

2. Initialize a new npm project:
   ```bash
   npm init -y
   ```

3. Create the following files:
   - `index.js` or `index.ts` (main agent file)
   - `.env` (environment variables)
   - `.gitignore` (version control exclusions)

File Structure:
```
my-atxp-agent/
├── index.js
├── .env
├── .gitignore
├── package.json
└── node_modules/
```"
Account Configuration,"Select and set up the appropriate account type for your needs with proper security practices.",Choose Your Account Type,"Select and set up the appropriate account type for your needs

Account Options:

Option A: ATXP Account (Recommended for beginners)
- Easiest to set up
- Built-in wallet management
- Integrated billing

Option B: Solana Account
- Use existing Solana wallet
- Direct blockchain interaction
- More control over transactions

Option C: EVM-Compatible Account
- Ethereum and other EVM chains
- Advanced users only
- Contact support for setup"
Account Configuration,"Select and set up the appropriate account type for your needs with proper security practices.",Set Up ATXP Account,"Create and configure an ATXP account (Option A)

Actions:
1. Visit the ATXP Account Creation Page - /client/create_an_account (relative URL from source)
2. Follow the account creation process
3. Copy your connection string
4. Add to your `.env` file:
   ```bash
   ATXP_CONNECTION=https://accounts.atxp.ai?connection_token=<your_token_here>
   ```

Security Note: Never commit your `.env` file to version control

Recommended Resources:
- Create ATXP Account - /client/create_an_account (relative URL from source)
- Account Security Best Practices - *URL not provided in source*"
Account Configuration,"Select and set up the appropriate account type for your needs with proper security practices.",Set Up Solana Account (Alternative),"Configure a Solana wallet for ATXP (Option B)

Actions:
1. Obtain your Solana private key from your wallet
2. Choose a Solana RPC endpoint (e.g., Mainnet, Devnet)
3. Add to your `.env` file:
   ```bash
   SOLANA_ENDPOINT=<your_solana_endpoint>
   SOLANA_PRIVATE_KEY=<your_private_key>
   ```

Recommended Solana RPC Providers:
- Alchemy
- QuickNode
- Helius
- Public RPC (for testing only)"
Account Configuration,"Select and set up the appropriate account type for your needs with proper security practices.",Secure Your Environment,"Implement security best practices

Actions:
1. Add `.env` to your `.gitignore`:
   ```bash
   echo .env >> .gitignore
   ```

2. Set appropriate file permissions:
   ```bash
   chmod 600 .env  # Unix/Linux/macOS
   ```

3. Consider using environment variable management tools for production"
Service Definition and Client Creation,"Configure paid MCP services and initialize the ATXP client with your account credentials.",Define Your First Service,"Configure a paid MCP service for your agent to use

Actions:
1. Define the browse service in your main file:

```typescript
const browseService = {
  mcpServer: 'https://browse.mcp.atxp.ai/',
  toolName: 'atxp_browse',
  description: 'Web browsing and content extraction',
  getArguments: (prompt: string) => ({ query: prompt }),
  getResult: (result: any) => result.content[0].text
};
```

Service Configuration Explained:
- `mcpServer`: The URL of the MCP server hosting the tool
- `toolName`: The specific tool identifier within the server
- `description`: Human-readable description of what the service does
- `getArguments`: Function to format input arguments
- `getResult`: Function to extract useful results from the response"
Service Definition and Client Creation,"Configure paid MCP services and initialize the ATXP client with your account credentials.",Create ATXP Client,"Initialize the ATXP client with your account credentials

For ATXP Account:
```typescript
import { atxpClient, ATXPAccount } from '@atxp/client';

const atxpConnectionString = process.env.ATXP_CONNECTION;
const client = await atxpClient({
  mcpServer: browseService.mcpServer,
  account: new ATXPAccount(atxpConnectionString),
});
```

For Solana Account:
```typescript
import { atxpClient, SolanaAccount } from '@atxp/client';

const solanaEndpoint = process.env.SOLANA_ENDPOINT;
const solanaPrivateKey = process.env.SOLANA_PRIVATE_KEY;
const client = await atxpClient({
  mcpServer: browseService.mcpServer,
  account: new SolanaAccount(solanaEndpoint, solanaPrivateKey),
});
```"
